Run	RgxName	genPolicy	timeoutStrGenSecs	totalTimeoutSecs	popSizeFactor	TimeNs	numGens	finalFitness	genStrings	numFinalFaults	numInitFaults	monitoring	maxNumGens	thFitness	OracleName	FinalRgx
1	Email	ALL	30	300	100	307355734716	13	1.0	2818	0.0	1.728357344786866E297	true	2147483647	2.0	Email_oracle	(\w){1,}@([\B-\Z]|(\_|[\A-\Z]))(((([\B-\Z]|\_)|[\0-\9])|[\A-\Z]))*\?.((\.&~((.&~(([\A-\z]|[\b-\y])))))){2,3}
1	Date1	ALL	30	300	100	300007276965	10	1.0	676	9216.0	14592.0	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)(\1[\0-\7]|\0[\1-\9])(((\-|\ )|\/)|\.)(19|20)(\d|\d)\d
1	IndianVehicle	ALL	30	300	100	315269534625	7	1.0	1116	0.0	8.260885235240116E34	true	2147483647	2.0	IndianVehicle_oracle	((((([\A-\Z]|[\a-\z])|\|)|[\a-\y])){2,2}(\s){1,1}(\d){2,2}(\s){1,1}((([\A-\Z]|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?(((.&~((.&~(([\a-\z]|(\||([\a-\z]|[\A-\Z])))))))){3,3}(\s){1,1}(\d){1,4})?
1	ItalianFiscalCode	ALL	30	300	100	330006815244	9	1.0	833	3.530480472217354E24	3.530480472217354E24	true	2147483647	2.0	ItalianFiscalCode_oracle	([\A-\Z]|[\a-\z])((([\A-\Z]|[\a-\z])|(.&[\a-\z]))){5,5}([\0-\9]){2,2}(([\A-\Z]|[\a-\z])){1,1}([\0-\9]){2,2}(([\A-\Z]|[\a-\z])){1,1}([\0-\9]){3,3}(([\A-\Z]|[\a-\z])){1,1}
1	URL	ALL	30	300	100	305443985455	8	1.0	1428	9.687193300201184E288	9.687341056824397E288	true	2147483647	2.0	URL_oracle	((([\b-\z]|[\A-\Y])\:|\\)|[\A-\Z])\\(((.&~(\\))){1,}\\)*(\.&~(((((((.&~((\/|(\:|\*))))|\?)|\")|\<)|\>)|\|)))+.(\h|\H)Tm(\L)?
1	phone	ALL	30	300	100	329842208460	16	1.0	1463	1.1E11	1.10000000008E11	true	2147483647	2.0	phone_oracle	(\.&~((.&~(((\2|\9)|[\a-\z])))))((\d|\D)){0,2}\-(\D){2,3}\D(\D){0,2}((\d|\D)){1,2}
1	URL1	ALL	30	300	100	317792233837	8	1.0	570	1.4775662321192475E284	9.687341056824397E288	true	2147483647	2.0	URL1_oracle	(.&~((.&~(((\\){2,2}(\.&~((((((\/|\:)|\?)|\<)|\>)|\|)))\+.(\w){2,6}|[\b-\z]:\((.&~(((((.&~((.&~(((.&~((\/|(\:|\*))))|\?)))))|\<)|\>)|\|)))){1,}\.(\w){2,6})))))
1	UScurrency	ALL	30	300	100	306368457675	25	1.0	609	109.0	109.0	true	2147483647	2.0	UScurrency_oracle	\$(\d(\d){0,2}(\,((.&~(((.&~(\d))|(.&~((\D|(\d|\d)))))))){3,3}){1,}|(\d){1,})\.(\d){2,2}
1	Date2	ALL	30	300	100	330009324288	3	0.9824561403508771	224	11904.0	13893.0	true	2147483647	2.0	Date2_oracle	(.&~((.&~((29/02/((((\2|\6)|\8)((\0|\4)|~(\8))|(16|(((\3|\5)|\7)|\9)(\2|\6)))00|(\1[\6-\9]|[\2-\9]\d)(\0(\4|\8)|((((\2|\4)|\6)|\8)((\0|\4)|\8)|((((\1|\3)|\5)|\7)|\9)(\2|\6))))|((\0[\2-\9]|((\1|\2)\d|\3(\0|\1)))\/(\0((((\1|\3)|\5)|\7)|\8)|\1(\0|\2))\/(\1[\6-\9]|[\2-\9]\d)(\d){2,2}|((\0[\1-\9]|((\1|\2)\d|30))\/(\0(((((((\1|\3)|\4)|\5)|\6)|\7)|\8)|\9)|\1((\0|\1)|\2))\/(\1[\6-\9]|[\2-\9]\d)(\d){2,2}|(\0[\1-\9]|(1d|\2[\0-\8]))/02/(\1[\6-\9]|[\2-\9]\d)(\d){2,2})))))))
1	USphoneNumber	ALL	30	300	100	322075650747	15	1.0	1222	1.310048073509376E18	1.310048073509376E18	true	2147483647	2.0	USphoneNumber_oracle	(\.&~((\.&~((\A|\Z)))))(((\d|\D)|[\A-\z])){1,1}\-(\d){3,3}\-(~(\d)){4,4}
1	USphoneNumber2	ALL	30	300	100	321569925721	15	1.0	1224	12.0	20.0	true	2147483647	2.0	USphoneNumber2_oracle	(\.&(\2|\8))(\D){3,3}-Dd(\d|\D)((.&~((\d|\D))))?\-(\d){4,4}
1	SocialSecurity1	ALL	30	300	100	310049802835	29	1.0	897	51.0	52.0	true	2147483647	2.0	SocialSecurity1_oracle	(D?){0,2}\-((\.&~((\.&~(\d))))){3,3}\-(\D){4,4}
1	SwedishSocialSecurity1	ALL	30	300	100	329275095006	8	1.0	921	0.0	1.1561256E8	true	2147483647	2.0	SwedishSocialSecurity1_oracle	(20(\0[\0-\9]|\1[\0-\1])|(\1(.&~([\0-\8])))?(\d){2,2})(\0[\1-\9]|\1[\0-\2])(\0[\1-\9]|(\2[\0-\9]|\3(\0|\1)))(\-)?(\d){4,4}(((((.&~(((~(\,)|.)|(.&~([\A-\Z]))))))?)?)?)?
1	ScientificNotation	ALL	30	300	100	314672118731	15	1.0	4968	33692.0	224132.0	true	2147483647	2.0	ScientificNotation_oracle	-?(.&~([\1-\9]))(?:.(\d){1,})?(\.&~((.&~((\E|(\e|\e))))))(\-|\+)?d*
1	MACaddress	ALL	30	300	100	319432016402	9	0.9983388704318937	1803	6.1174355853312E13	1.284608653060096E16	true	2147483647	2.0	MACaddress_oracle	(([\a-\f]|[\A-\F])([\a-\f]|[\A-\F])\:){5,5}([\b-\f]|[\a-\z])[\A-\f]
1	MACaddress1	ALL	30	300	100	316613172154	13	1.0	506	0.0	1.257352765433856E16	true	2147483647	2.0	MACaddress1_oracle	(([\0-\9]|([\A-\F]|([\a-\f]|[\A-\F])))([\0-\9]|([\A-\F]|[\a-\f]))\:){5,5}([\0-\9]|([\A-\F]|[\a-\f]))((([\0-\9]|[\A-\F])|([\A-\F]|[\a-\f]))|[\a-\f])
1	USzipCode	ALL	30	300	100	311305887311	13	1.0	1242	2.0	4.000100002E9	true	2147483647	2.0	USzipCode_oracle	(\0|[\A-\Z])((((\0|\9)|[\A-\Z])|[\a-\z])){4,4}(\.&~((\.&~(((\-|\ )|[\A-\Z])))))\?((\.&~([\0-\9]))\?){3,3}\?
